id,text_no_spaces,predicted_positions,predicted_text
0,куплюайфон14про,"[1, 6, 12]",к уплюа йфон14 про
1,ищудомвПодмосковье,"[6, 8]",ищудом вП одмосковье
2,сдаюквартирусмебельюитехникой,"[5, 16, 24, 26]",сдаюк вартирусмеб ельюитех ни кой
3,новыйдивандоставканедорого,"[5, 11, 20]",новый диванд оставкане дорого
4,отдамдаромкошку,"[5, 11]",отдам даромк ошку
5,работавМосквеудаленно,"[6, 8, 15]",работа вМ осквеуд аленно
6,куплютелевизорPhilips,[],куплютелевизорPhilips
7,ищугрузчиковдляпереезда,"[3, 13, 17]",ищу грузчиковд ляпе реезда
8,ремонтквартирподключ,"[6, 14]",ремонт квартирп одключ
9,куплюноутбукHP,"[1, 6, 8]",к уплюн оу тбукHP
10,ищуквартирууметро,"[3, 12, 14]",ищу квартируу ме тро
11,новаямикроволновкаSamsung,[5],новая микроволновкаSamsung
12,срочнопродамвелосипед,"[6, 13]",срочно продамв елосипед
13,куплюгитаруFender,"[1, 12]",к уплюгитаруF ender
14,ищурепетиторапобиологии,"[5, 14]",ищуре петиторап обиологии
15,сдаюгаражнадлительныйсрок,"[4, 10, 24]",сдаю гаражн адлительныйсро к
16,куплюдиванбу,"[1, 8]",к уплюдив анбу
17,ищумастерапоремонтухолодильников,"[5, 11, 14, 22]",ищума стерап оре монтухол одильников
18,новыйшкафдоставкасегодня,"[5, 10, 19]",новый шкафд оставкасе годня
19,куплюXboxOne,"[5, 6]",куплю X boxOne
20,ищуподработкуповечерам,"[3, 14, 17]",ищу подработкуп ове черам
21,сдамкомнатустудентке,[1],с дамкомнатустудентке
22,куплюстаруюкнигу,"[1, 12]",к уплюстаруюк нигу
23,ищусобакулабрадор,[3],ищу собакулабрадор
24,новыйтелефонXiaomi13,"[5, 13]",новый телефонX iaomi13
25,куплюPlaystation5диск,[5],куплю Playstation5диск
26,ищукомнатувцентрегорода,"[3, 11, 13, 20]",ищу комнатув це нтрегор ода
27,срочнонужнаняняребенку,"[6, 13]",срочно нужнаня няребенку
28,куплюстиральнуюмашинуIndesit,"[1, 16, 23]",к уплюстиральнуюм ашинуIn desit
29,ищудетскуюкроваткубу,"[2, 11, 18]",ищ удетскуюк роватку бу
30,новаякурткадоставка,"[5, 12]",новая курткад оставка
31,куплювелосипедMerida,"[1, 6, 16]",к уплюв елосипедMe rida
32,ищуврачаофтальмолога,"[2, 9]",ищ уврачао фтальмолога
33,сдаюквартирувцентреМосквы,"[1, 5, 14, 16, 23]",с даюк вартирувц ен треМоск вы
34,куплюхолодильникSamsung,[17],куплюхолодильникS amsung
35,ищукошкубританскую,"[3, 9]",ищу кошкуб ританскую
36,новыйноутбукдоставказавтра,"[5, 13, 22]",новый ноутбукд оставказа втра
37,куплюшкафбу,[],куплюшкафбу
38,ищурепетиторапоистории,"[5, 14, 17]",ищуре петиторап оис тории
39,сдаюкомнатубезпосредников,"[4, 12, 16]",сдаю комнатуб езпо средников
40,куплютелевизорLGOLED,[16],куплютелевизорLG OLED
